ts_code_x	trade_date	open	high	low	close_x	pre_close	change	pct_chg	vol	amount	turnover_rate	turnover_rate_f	volume_ratio	pe	pe_ttm	pb	ps	ps_ttm	dv_ratio	dv_ttm	total_share	float_share	free_share	total_mv	circ_mv	open_close_chg
300895.SZ	20201222	44.2845	44.2845	41.6057	41.8552	44.2679	-2.412699999999994	-5.4502	26707.2	137065.122	11.612	11.612	1.3	92.2924	85.6946	4.4394	18.5964	15.4679			9697.015	2299.9654	2299.9654	487856.8247	115711.2593	-0.00337831380569211
300895.SZ	20201223	41.7138	42.2463	40.3577	40.4409	41.8552	-1.4143000000000043	-3.379	24220.28	119016.307	10.5307	10.5307	1.14	89.1738	82.7989	4.2894	17.968	14.9453			9697.015	2299.9654	2299.9654	471371.8992	111801.3181	0.0032912224999937906
300895.SZ	20201224	40.574	42.3045	39.8419	40.8236	40.4409	0.3826999999999998	0.9463	25685.31	126951.391	11.1677	11.1677	1.27	90.0177	83.5824	4.33	18.138	15.0867			9697.015	2299.9654	2299.9654	475832.5261	112859.3022	-0.004482701182649248
300895.SZ	20201225	40.6406	42.8286	40.6406	41.5225	40.8236	0.6989000000000019	1.712	24936.3	125163.662	10.842	10.842	1.14	91.5586	85.0132	4.4041	18.4485	15.345			9697.015	2299.9654	2299.9654	483978.0187	114791.2731	-0.008214823288578588
300895.SZ	20201228	41.1814	41.4226	38.9351	39.1681	41.5225	-2.3543999999999983	-5.6702	26570.99	126848.9	11.5528	11.5528	1.14	86.3671	80.1928	4.1544	17.4024	14.4749			9697.015	2299.9654	2299.9654	456535.4662	108282.371	-0.0036126337504244683
300895.SZ	20201229	39.0266	40.8902	38.4359	40.025	39.1681	0.856899999999996	2.1877	22418.85	108246.702	9.7475	9.7475	0.87	88.2566	81.9472	4.2452	17.7832	14.7915			9697.015	2299.9654	2299.9654	466523.3917	110651.3354	-0.006443472829481558
300895.SZ	20201230	39.7671	40.5158	39.2097	40.2912	40.025	0.2662000000000049	0.6651	15984.77	76947.728	6.95	6.95	0.65	88.8436	82.4923	4.2735	17.9014	14.8899			9697.015	2299.9654	2299.9654	469626.4365	111387.3243	-0.0057829004844731375
300895.SZ	20201231	40.0582	41.8719	40.0582	41.1647	40.2912	0.8734999999999999	2.168	19929.49	98566.374	8.6651	8.6651	0.86	90.7698	84.2808	4.3661	18.2896	15.2128			9697.015	2299.9654	2299.9654	479808.3022	113802.288	0.008286225819694964
300895.SZ	20210104	41.5058	42.6539	40.8569	41.98	41.1647	0.8152999999999935	1.9806	22532.63	113541.444	9.7969	9.7969	1.03	92.5676	85.9501	4.4526	18.6518	15.5141			9697.015	2299.9654	2299.9654	489311.3769	116056.2541	-0.001188661267269982
300895.SZ	20210105	41.9301	42.7621	41.4393	42.3378	41.98	0.3578000000000045	0.8523	22188.99	112251.193	9.6475	9.6475	1.03	93.3564	86.6825	4.4906	18.8107	15.6463			9697.015	2299.9654	2299.9654	493481.0934	117045.2392	0.005697036690616709
300895.SZ	20210106	42.57899999999999	42.6123	39.7671	39.9501	42.3378	-2.3877000000000024	-5.6396	23555.67	115167.258	10.2417	10.2417	1.14	88.0915	81.7939	4.2373	17.7499	14.7639			9697.015	2299.9654	2299.9654	465650.6603	110444.3385	-0.004580714441265474
300895.SZ	20210107	39.7671	39.9418	37.5291	38.1281	39.9501	-1.821999999999996	-4.5607	23704.8	110031.843	10.3066	10.3066	1.14	84.074	78.0637	4.0441	16.9404	14.0906			9697.015	2299.9654	2299.9654	444414.1975	105407.4143	-0.009381532255737925
300895.SZ	20210108	37.7704	39.0017	37.03	37.9201	38.1281	-0.2080000000000055	-0.5455	18159.51	83385.06599999999	7.8956	7.8956	0.81	83.6153	77.6378	4.022	16.848	14.0137			9697.015	2299.9654	2299.9654	441989.9437	104832.4229	-0.011408197763191574
300895.SZ	20210111	37.4875	38.1281	35.3161	35.8569	37.9201	-2.063199999999996	-5.4409	26149.26	114399.531	11.3694	11.3694	1.19	79.0658	73.4136	3.8032	15.9313	13.2512			9697.015	2299.9654	2299.9654	417941.3465	99128.5087	-0.011833147873909967
300895.SZ	20210112	35.4326	36.4725	35.1414	35.4493	35.8569	-0.4076000000000022	-1.1367	16334.01	70205.149	7.1019	7.1019	0.72	78.167	72.5789	3.7599	15.7502	13.1006			9697.015	2299.9654	2299.9654	413189.8092	98001.5257	-0.00023695813457534393
300895.SZ	20210113	35.4409	35.4409	33.228	33.4443	35.4493	-2.0050000000000026	-5.6560000000000015	24448.64	99813.334	10.63	10.63	1.13	73.7459	68.4739	3.5473	14.8593	12.3596			9697.015	2299.9654	2299.9654	389820.003	92458.6091	0.0044760990662086764
300895.SZ	20210114	33.594	35.3744	33.4526	34.8502	33.4443	1.4059000000000026	4.2037	25316.31	105311.111	11.0073	11.0073	1.16	76.8461	71.3525	3.6964	15.484000000000002	12.8792			9697.015	2299.9654	2299.9654	406207.9584	96345.5506	-0.009546573620811434
300895.SZ	20210115	34.5175	38.985	34.2928	37.5374	34.8502	2.687199999999997	7.7107	39936.77	178953.235	17.3641	17.3641	1.81	82.7715	76.8543	3.9814	16.6779	13.8723			9697.015	2299.9654	2299.9654	437529.3168	103774.4388	-0.011524506225790833
300895.SZ	20210118	37.1048	38.1032	36.6556	37.3128	37.5374	-0.2245999999999952	-0.5983	23951.35	107758.382	10.4138	10.4138	0.91	82.2762	76.3944	3.9576	16.5781	13.7893			9697.015	2299.9654	2299.9654	434911.1228	103153.4482	0.007804292360798341
300895.SZ	20210119	37.604	41.1814	37.4376	39.1348	37.3128	1.821999999999996	4.883	37506.23	178994.612	16.3073	16.3073	1.44	86.2937	80.1247	4.1508	17.3876	14.4626			9697.015	2299.9654	2299.9654	456147.5856	108190.3724	-0.01211709271543476
300895.SZ	20210120	38.6606	39.0599	37.6955	38.3361	39.1348	-0.7986999999999966	-2.0409	24083.29	110731.273	10.4712	10.4712	0.8	84.5326	78.4895	4.0661	17.0328	14.1674			9697.015	2299.9654	2299.9654	446838.4512	105982.4056	-0.012369542024358327
